mealName,srcImg,kcal,carboHydrates,carboWithSugars,proteins,fats,saturatedFats,fiber,salt,LACTEO,VEGANO,CARNE,PESCADO,MARISCO,FRUTA,VEGETALES,LEGUMBRES,CEREALES,SEMILLAS,HUEVO,FRUTOS_SECOS,GLUTEN,ORIGEN_ANIMAL,DESAYUNO,MEDIO_DIA,ALMUERZO,MERIENDA,CENA,APERITIVOS,PRE_ENTRENO,APERITIVOS,GENERICO
secreto de cerdo,img_64,136,0,0,21.5,5.6,2.2,0,0.1,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
careta de cerdo,img_65,120,0,0,21,3.4,1.2,0,0.1,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
codillo de cerdo,img_66,129,0,0,23,3.9,1.13,0,0.1,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
higado de cerdo,img_67,120,0,0,21.4,3.7,1.2,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
presa de cerdo iberico,img_68,212,0,0,17.7,15.7,6.4,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
sesos de cerdo,img_69,127,0,0,10.28,9.21,2.07,0,0.3,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
solomillo de cerdo,img_70,131,0,0,21,5.1,0.8,0,0.11,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
chuletas lomo de cerdo,img_71,154,0,0,22,7.2,2.7,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
chuletas aguja de cerdo,img_72,151,0,0,19.1,13.7,6.5,0,0.5,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
carne  de conejo,img_73,133,0,0,20.25,5.7,2.1,0,0.1,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
higado de conejo,img_74,135,0,0,20.36,3.63,1.2,0,0.17,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
chuletas de cordero pierna,img_75,119,0,0,19.5,4.6,2,0,0.3,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
chuletas de cordero paletilla,img_76,112,0,0,15.5,5.45,2,0,0.5,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
higado de cordero,img_77,139,1.78,0,20.38,5.02,1.94,0,0.18,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
longaniza magro de cerdo,img_78,222,2,0.5,13,18,6,0,4.5,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
longaniza de pollo,img_79,130,0.8,0.5,16,6,1.8,0,4.5,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
butifarra de carne,img_80,222,2,0.5,15,18,6,1,1.8,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
butifarra de cebolla,img_81,156,5.3,0.5,16,7.9,2.8,1.5,1.9,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
morcilla de arroz,img_82,467,0.5,0.5,12.1,46.3,21.2,2.1,2.7,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
longaniza roja,img_83,222,2,0.5,13,18,6,1.5,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
chorizo,img_84,358,3.2,3.2,21,29,11,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
chistorra,img_85,402,0.5,0,14,35,14,0,2,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
longaniza criolla,img_86,326,1,0.5,13,30,11,0,1.8,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
hamburguesa de vacuno y cerdo,img_87,221,1.5,0.8,17.7,16,7.1,0,2,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
hamburguesa de pollo,img_88,148,4.3,1.4,16,7.5,2.4,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
hamburguesa de pavo y pollo,img_89,131,1.2,0,19,5.5,1.5,0,1.61,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
preparado carne picada vacuno y cerdo,img_90,172,1,0.5,17,12,5,0,0.2,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
preparado carne picada cerdo,img_91,212,1,1,17,16,5,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
preparado carne picada vacuno,img_92,182,0.9,0.8,17,12,5,0,0.75,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
preparado carne picada pollo y pavo,img_93,137,1,0.5,19,6,2,0,1,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
albondigas de cerdo,img_94,248,3.7,0.7,14,20,7.7,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
filete de vacuno,img_95,156,0.1,0,20,8.4,3.8,0,0.16,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
carpaccio de vacuno,img_96,89,1.2,0.7,19.2,0.5,0.23,0,9.65,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
entrecot de vacuno,img_97,161,0.6,0,22,8,3.8,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
entrecot ternera,img_98,135,0,0,23.35,3.92,1.55,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
chuleton vacuno,img_99,161,0.6,0.5,22,8,3.8,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
nuggets de pollo,img_100,228,22,1.5,13.1,9.4,1.5,1,1.2,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false
nugguets de pavo,img_101,218,15.2,0.3,12.3,11.8,2.2,1,0.5,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false
callos preparados de ternera,img_102,160,0,0,17,10,3.9,0,0,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false
oreja de cerdo cocida,img_103,165,0,0,21,9,4,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
cereales copos de maiz 0% azucar,img_104,373,82,0.9,6.7,1.1,0.4,15,1.5,true,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,false,false,false
cereales copos de maiz azucarados,img_105,378,84,5,6.3,1.1,0.4,15,1.3,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false
copos de avena,img_106,375,59,0.7,14,7,1.3,10,0.02,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
copos de trigo integral y arroz ,img_107,374,76,17.1,17.7,1.2,0.7,2.7,0,false,true,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false
